index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
334,1588,PIEDMONT COLLEGE,DEMOREST,GA,30535,Private-Nonprofit,Subsidized,659,659,2887848.0,659,1470497.0,34.58063,-83.57652,Demorest,GA,30535
335,1582,MOREHOUSE COLLEGE,ATLANTA,GA,30314,Private-Nonprofit,Subsidized,830,831,3522519.0,831,1759916.0,33.75787,-84.43193,Atlanta,GA,30314
336,1566,FORT VALLEY STATE UNIVERSITY,FORT VALLEY,GA,31030,Public,Subsidized,1791,1791,7349364.0,1793,3685708.0,32.56861,-83.89103,Fort Valley,GA,31030
337,1594,SPELMAN COLLEGE,ATLANTA,GA,30314,Private-Nonprofit,Subsidized,851,851,3911809.0,853,1960034.0,33.75787,-84.43193,Atlanta,GA,30314
338,1590,SAVANNAH STATE UNIVERSITY,SAVANNAH,GA,31404,Public,Subsidized,1848,1848,7161518.0,1850,3574887.0,32.05064,-81.05367,Savannah,GA,31404
339,1555,THOMAS UNIVERSITY,THOMASVILLE,GA,31792,Private-Nonprofit,Subsidized,322,322,1465469.0,323,748245.0,30.77079,-84.04238,Thomasville,GA,31792
341,1573,GEORGIA SOUTHWESTERN STATE UNIVERSITY,AMERICUS,GA,31709,Public,Subsidized,839,850,3495332.0,850,1784177.0,32.05071,-84.14011,Americus,GA,31709
342,1575,GORDON STATE COLLEGE,BARNESVILLE,GA,30204,Public,Subsidized,956,958,3599508.0,958,1800108.0,33.05844,-84.12343,Barnesville,GA,30204
343,1541,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,TIFTON,GA,31794,Public,Subsidized,821,836,3202089.0,836,1604910.0,31.44418,-83.45151,Tifton,GA,31794
344,1554,BERRY COLLEGE,MOUNT BERRY,GA,30149,Private-Nonprofit,Subsidized,467,468,1879107.0,468,944927.0,34.31107,-85.21691,Mount Berry,GA,30149
345,1571,GEORGIA MILITARY COLLEGE,MILLEDGEVILLE,GA,31061,Public,Subsidized,977,1006,2991698.0,1741,1694426.0,33.06041,-83.22816,Milledgeville,GA,31061
346,1558,COLLEGE OF COASTAL GEORGIA,BRUNSWICK,GA,31520,Public,Subsidized,697,715,2846874.0,715,1426056.0,31.17745,-81.48729,Brunswick,GA,31520
347,1591,SHORTER UNIVERSITY,ROME,GA,30165,Private-Nonprofit,Subsidized,443,443,1796086.0,443,903797.0,34.30279,-85.27233,Rome,GA,30165
